
******2019/12/4 16:43:51******
temp:100

0.992308 r/s
0.405265 m/s

1.092308 r/s
0.446106 m/s

1.061538 r/s
0.433540 m/s

1.042308 r/s
0.425686 m/s

1.088462 r/s
0.444535 m/s

1.050000 r/s
0.428827 m/s

1.138462 r/s
0.464956 m/s

0.976923 r/s
0.398982 m/s

1.034615 r/s
0.422544 m/s

1.084615 r/s
0.442965 m/s

0.988462 r/s
0.403695 m/s

1.034615 r/s
0.422544 m/s

1.115385 r/s
0.455531 m/s

0.996154 r/s
0.406836 m/s

1.111538 r/s
0.453960 m/s

1.076923 r/s
0.439823 m/s

1.057692 r/s
0.431969 m/s

1.073077 r/s
0.438252 m/s

1.042308 r/s
0.425686 m/s

1.134615 r/s
0.463385 m/s

0.965385 r/s
0.394270 m/s

1.026923 r/s
0.419403 m/s

1.080769 r/s
0.441394 m/s

0.984615 r/s
0.402124 m/s

1.038462 r/s
0.424115 m/s

1.119231 r/s
0.457102 m/s

0.996154 r/s
0.406836 m/s

1.111538 r/s
0.453960 m/s

1.080769 r/s
0.441394 m/s

1.065385 r/s
0.435111 m/s

1.092308 r/s
0.446106 m/s

1.057692 r/s
0.431969 m/s

1.138462 r/s
0.464956 m/s

0.961538 r/s
0.392699 m/s

1.015385 r/s
0.414690 m/s

1.073077 r/s
0.438252 m/s

0.973077 r/s
0.397411 m/s

1.042308 r/s
0.425686 m/s

1.111538 r/s
0.453960 m/s

0.992308 r/s
0.405265 m/s

1.111538 r/s
0.453960 m/s

1.088462 r/s
0.444535 m/s

1.065385 r/s
0.435111 m/s

1.092308 r/s
0.446106 m/s

1.057692 r/s
0.431969 m/s

1.142308 r/s
0.466526 m/s

0.976923 r/s
0.398982 m/s

1.015385 r/s
0.414690 m/s

1.069231 r/s
0.436681 m/s

0.969231 r/s
0.395841 m/s

1.023077 r/s
0.417832 m/s

1.103846 r/s
0.450818 m/s

0.984615 r/s
0.402124 m/s

1.100000 r/s
0.449248 m/s

1.076923 r/s
0.439823 m/s

1.057692 r/s
0.431969 m/s

1.092308 r/s
0.446106 m/s

1.061538 r/s
0.433540 m/s

1.142308 r/s
0.466526 m/s

0.973077 r/s
0.397411 m/s

1.026923 r/s
0.419403 m/s

1.080769 r/s
0.441394 m/s

0.980769 r/s
0.400553 m/s

1.026923 r/s
0.419403 m/s

1.103846 r/s
0.450818 m/s

0.980769 r/s
0.400553 m/s

1.100000 r/s
0.449248 m/s

1.069231 r/s
0.436681 m/s

1.050000 r/s
0.428827 m/s

